A5A616	mgtS	b4599	Small protein MgtS
P11458	nadA	b0750	Quinolinate synthase (EC 2.5.1.72) (Quinolinate synthetase A)
P11551	fucP	b2801	L-fucose-proton symporter (6-deoxy-L-galactose permease) (L-fucose permease) (L-fucose-H(+) symport protein)
P11557	damX	b3388	Cell division protein DamX
P11667	argO	b2923	Arginine exporter protein ArgO
P11868	tdcD	b3115	Propionate kinase (EC 2.7.2.15)
P11880	murF	b0086	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10) (D-alanyl-D-alanine-adding enzyme) (UDP-MurNAc-pentapeptide synthetase)
P12008	aroC	b2329	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase) (EPSP phospholyase)
P12281	moeA	b0827	Molybdopterin molybdenumtransferase (MPT Mo-transferase) (EC 2.10.1.1)
P12282	moeB	b0826	Molybdopterin-synthase adenylyltransferase (EC 2.7.7.80) (MoaD protein adenylase) (Molybdopterin-converting factor subunit 1 adenylase) (Sulfur carrier protein MoaD adenylyltransferase)
P12295	ung	b2580	Uracil-DNA glycosylase (UDG) (EC 3.2.2.27)
P12758	udp	b3831	Uridine phosphorylase (UPase) (UrdPase) (EC 2.4.2.3)
P12995	bioA	b0774	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62) (7,8-diamino-pelargonic acid aminotransferase) (DAPA AT) (DAPA aminotransferase) (7,8-diaminononanoate synthase) (DANS) (Diaminopelargonic acid synthase)
P12996	bioB	b0775	Biotin synthase (EC 2.8.1.6)
P12998	bioF	b0776	8-amino-7-oxononanoate synthase (AONS) (EC 2.3.1.47) (7-keto-8-amino-pelargonic acid synthase) (7-KAP synthase) (KAPA synthase) (8-amino-7-ketopelargonate synthase)
P13000	bioD1	b0778	ATP-dependent dethiobiotin synthetase BioD 1 (EC 6.3.3.3) (DTB synthetase 1) (DTBS 1) (Dethiobiotin synthase 1)
P13001	bioH	b3412	Pimeloyl-[acyl-carrier protein] methyl ester esterase (EC 3.1.1.85) (Biotin synthesis protein BioH) (Carboxylesterase BioH)
P13009	metH	b4019	Methionine synthase (EC 2.1.1.13) (5-methyltetrahydrofolate--homocysteine methyltransferase) (Methionine synthase, vitamin-B12-dependent) (MS)
P13029	katG	b3942	Catalase-peroxidase (CP) (EC 1.11.1.21) (Hydroperoxidase I) (HPI) (Peroxidase/catalase)
P13035	glpD	b3426	Aerobic glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)
P13036	fecA	b4291	Fe(3+) dicitrate transport protein FecA (Iron(III) dicitrate transport protein FecA)
P13039	fes	b0585	Iron(III) enterobactin esterase (EC 3.1.1.108) (Enterochelin esterase) (Ferric enterobactin esterase)
P13445	rpoS	b2741	RNA polymerase sigma factor RpoS (Sigma S) (Sigma-38)
P13458	sbcC	b0397	Nuclease SbcCD subunit C
P13482	treA	b1197	Periplasmic trehalase (EC 3.2.1.28) (Alpha,alpha-trehalase) (Alpha,alpha-trehalose glucohydrolase) (Tre37A)
P13518	csrD	b3252	RNase E specificity factor CsrD (Regulator of CsrB and CsrC decay CsrD)
P13656	chiA	b3338	Probable bifunctional chitinase/lysozyme [Includes: Chitinase (EC 3.2.1.14); Lysozyme (EC 3.2.1.17)]
P13738	nhaA	b0019	Na(+)/H(+) antiporter NhaA (Na(+)/H(+) exchanger) (Na(+)/Li(+)/H(+) antiporter) (Sodium/proton antiporter NhaA)
P14081	selB	b3590	Selenocysteine-specific elongation factor (SelB translation factor)
P14175	proV	b2677	Glycine betaine/proline betaine transport system ATP-binding protein ProV
P14176	proW	b2678	Glycine betaine/proline betaine transport system permease protein ProW
P14294	topB	b1763	DNA topoisomerase 3 (EC 5.6.2.1) (DNA topoisomerase III)
P14375	zraR	b4004	Transcriptional regulatory protein ZraR
P14377	zraS	b4003	Sensor histidine kinase ZraS (EC 2.7.13.3)
P14407	fumB	b4122	Fumarate hydratase class I, anaerobic (EC 4.2.1.2) (D-tartrate dehydratase) (EC 4.2.1.81) (Fumarase B)
P14900	murD	b0088	UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9) (D-glutamic acid-adding enzyme) (UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase)
P15005	mcrB	b4346	Type IV methyl-directed restriction enzyme EcoKMcrB subunit (EcoKMcrBC) (5-methylcytosine-specific restriction enzyme B) (EC 3.1.21.-)
P15028	fecB	b4290	Fe(3+) dicitrate-binding periplasmic protein FecB (Iron(III) dicitrate-binding periplasmic protein)
P15029	fecD	b4288	Fe(3+) dicitrate transport system permease protein FecD (Iron(III) dicitrate transport system permease protein FecD)
P15030	fecC	b4289	Fe(3+) dicitrate transport system permease protein FecC (Iron(III) dicitrate transport system permease protein FecC)
P15034	pepP	b2908	Xaa-Pro aminopeptidase (EC 3.4.11.9) (Aminoacylproline aminopeptidase) (Aminopeptidase P II) (APP-II) (X-Pro aminopeptidase)
P15042	ligA	b2411	DNA ligase (EC 6.5.1.2) (Polydeoxyribonucleotide synthase [NAD(+)])
P15043	recQ	b3822	ATP-dependent DNA helicase RecQ (EC 5.6.2.4) (DNA 3'-5' helicase RecQ)
P15047	entA	b0596	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (DiDHB-DH) (EC 1.3.1.28) (Trans-2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase)
P15067	glgX	b3431	Glycogen debranching enzyme (EC 3.2.1.196) (Glycogen operon protein GlgX) (Limit dextrin alpha-1,6-maltotetraose-hydrolase)
P15254	purL	b2557	Phosphoribosylformylglycinamidine synthase (FGAM synthase) (FGAMS) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase) (FGAR amidotransferase) (FGAR-AT)
P15288	pepD	b0237	Cytosol non-specific dipeptidase (EC 3.4.13.18) (Aminoacyl-histidine dipeptidase) (Beta-alanyl-histidine dipeptidase) (Carnosinase) (Cysteinylglycinase) (Peptidase D) (Xaa-His dipeptidase) (X-His dipeptidase)
P15373	prlF	b3129	Antitoxin PrlF (HtrA suppressor protein SohA)
P15640	purD	b4005	Phosphoribosylamine--glycine ligase (EC 6.3.4.13) (GARS) (Glycinamide ribonucleotide synthetase) (Phosphoribosylglycinamide synthetase)
P15723	dgt	b0160	Deoxyguanosinetriphosphate triphosphohydrolase (dGTP triphosphohydrolase) (dGTPase) (EC 3.1.5.1)
P15770	aroE	b3281	Shikimate dehydrogenase (NADP(+)) (SD) (SDH) (EC 1.1.1.25)
P15877	gcd	b0124	Quinoprotein glucose dehydrogenase (EC 1.1.5.2) (Glucose dehydrogenase [pyrroloquinoline-quinone])
P15993	aroP	b0112	Aromatic amino acid transport protein AroP (Aromatic amino acid:H(+) symporter AroP) (General aromatic amino acid permease) (General aromatic transport system)
P16384	miaA	b4171	tRNA dimethylallyltransferase (EC 2.5.1.75) (Dimethylallyl diphosphate:tRNA dimethylallyltransferase) (DMAPP:tRNA dimethylallyltransferase) (DMATase) (Isopentenyl-diphosphate:tRNA isopentenyltransferase) (IPP transferase) (IPPT) (IPTase)
P16456	selD	b1764	Selenide, water dikinase (EC 2.7.9.3) (Selenium donor protein) (Selenophosphate synthase)
P16528	iclR	b4018	Transcriptional repressor IclR (Acetate operon repressor)
P16659	proS	b0194	Proline--tRNA ligase (EC 6.1.1.15) (Global RNA synthesis factor) (Prolyl-tRNA synthetase) (ProRS)
P16686	phnH	b4100	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnH (RPnTP synthase subunit PhnH) (EC 2.7.8.37)
P16687	phnI	b4099	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnI (RPnTP synthase subunit PhnI) (EC 2.7.8.37) (Ribose 1-methylphosphonate 5-triphosphate synthase nucleosidase subunit)
P16688	phnJ	b4098	Alpha-D-ribose 1-methylphosphonate 5-phosphate C-P lyase (PRPn C-P lyase) (EC 4.7.1.1)
P16692	phnP	b4092	Phosphoribosyl 1,2-cyclic phosphate phosphodiesterase (EC 3.1.4.55) (Phosphoribosyl cyclic phosphodiesterase)
P16703	cysM	b2421	Cysteine synthase B (CSase B) (EC 2.5.1.47) (O-acetylserine (thiol)-lyase B) (OAS-TL B) (O-acetylserine sulfhydrylase B)
P16869	fhuE	b1102	Hydroxamate siderophore receptor FhuE (Ferric iron uptake protein) (Ferric-coprogen receptor FhuE) (Outer-membrane receptor for Fe(III)-coprogen, Fe(III)-ferrioxamine B and Fe(III)-rhodotrulic acid) (TonB-dependent transporter receptor FhuE) (TBDT receptor FhuE)
P16926	mreC	b3250	Cell shape-determining protein MreC (Cell shape protein MreC) (Rod shape-determining protein MreC)
P17109	menD	b2264	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase (SEPHCHC synthase) (EC 2.2.1.9) (Menaquinone biosynthesis protein MenD)
P17115	gutQ	b2708	Arabinose 5-phosphate isomerase GutQ (API) (G-API) (EC 5.3.1.13) (Phosphosugar aldol-ketol isomerase)
P17117	nfsA	b0851	Oxygen-insensitive NADPH nitroreductase (EC 1.-.-.-) (Modulator of drug activity A)
P17169	glmS	b3729	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase) (GFAT) (Glucosamine-6-phosphate synthase) (Hexosephosphate aminotransferase) (L-glutamine--D-fructose-6-phosphate amidotransferase)
P17411	chbF	b1734	6-phospho-beta-glucosidase (EC 3.2.1.86) (Cellobiose-6-phosphate hydrolase) (Phospho-chitobiase)
P17443	murG	b0090	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227) (Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase)
P17444	betA	b0311	Oxygen-dependent choline dehydrogenase (CDH) (CHD) (EC 1.1.99.1) (Betaine aldehyde dehydrogenase) (BADH) (EC 1.2.1.8)
P17445	betB	b0312	Betaine aldehyde dehydrogenase (BADH) (EC 1.2.1.8)
P17846	cysI	b2763	Sulfite reductase [NADPH] hemoprotein beta-component (SiR-HP) (SiRHP) (EC 1.8.1.2)
P17854	cysH	b2762	Phosphoadenosine 5'-phosphosulfate reductase (PAPS reductase) (EC 1.8.4.8) (3'-phosphoadenylylsulfate reductase) (PAPS reductase, thioredoxin dependent) (PAPS sulfotransferase) (PAdoPS reductase)
P17888	priA	b3935	Primosomal protein N' (EC 3.6.4.-) (ATP-dependent helicase PriA) (Replication factor Y)
P17952	murC	b0091	UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8) (UDP-N-acetylmuramoyl-L-alanine synthetase)
P17993	ubiG	b2232	Ubiquinone biosynthesis O-methyltransferase (2-octaprenyl-6-hydroxyphenol methylase) (EC 2.1.1.222) (3-demethylubiquinone-8 3-O-methyltransferase) (EC 2.1.1.64)
P18196	minC	b1176	Septum site-determining protein MinC
P18200	pgpA	b0418	Phosphatidylglycerophosphatase A (EC 3.1.3.27) (Phosphatidylglycerolphosphate phosphatase A) (PGP phosphatase A)
P18335	argD	b3359	Acetylornithine/succinyldiaminopimelate aminotransferase (ACOAT) (DapATase) (Succinyldiaminopimelate transferase) (EC 2.6.1.11) (EC 2.6.1.17)
P18775	dmsA	b0894	Dimethyl sulfoxide reductase DmsA (DMSO reductase) (DMSOR) (Me2SO reductase) (EC 1.8.5.3)
P18776	dmsB	b0895	Anaerobic dimethyl sulfoxide reductase chain B (DMSO reductase iron-sulfur subunit)
P18843	nadE	b1740	NH(3)-dependent NAD(+) synthetase (EC 6.3.1.5) (Nicotinamide adenine dinucleotide synthetase) (NADS) (Nitrogen regulatory protein)
P18956	ggt	b3447	Glutathione hydrolase proenzyme (EC 3.4.19.13) (Gamma-glutamyltranspeptidase proenzyme) (GGT) (EC 2.3.2.2) [Cleaved into: Glutathione hydrolase large chain; Glutathione hydrolase small chain]
P19318	narY	b1467	Respiratory nitrate reductase 2 beta chain (EC 1.7.5.1)
P19319	narZ	b1468	Respiratory nitrate reductase 2 alpha chain (EC 1.7.5.1)
P19624	pdxA	b0052	4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262) (4-(phosphohydroxy)-L-threonine dehydrogenase)
P19636	eutC	b2440	Ethanolamine ammonia-lyase small subunit (EAL small subunit) (EC 4.3.1.7) (Ethanolamine ammonia-lyase beta subunit) (Ethanolamine ammonia-lyase light chain) (Ethanolamine deaminase small subunit)
P19925	entD	b0583	Enterobactin synthase component D (4'-phosphopantetheinyl transferase EntD) (EC 2.7.8.-) (Enterochelin synthase D)
P19926	agp	b1002	Glucose-1-phosphatase (G1Pase) (EC 3.1.3.10)
P19934	tolA	b0739	Tol-Pal system protein TolA
P20083	parE	b3030	DNA topoisomerase 4 subunit B (EC 5.6.2.2) (Topoisomerase IV subunit B)
P20966	fruA	b2167	PTS system fructose-specific EIIB'BC component (EIIB'BC-Fru) [Includes: PTS system fructose-specific EIIB component (EC 2.7.1.202) (EIII-Fru) (Fructose-specific phosphotransferase enzyme IIB component); PTS system fructose-specific EIIC component (Fructose permease IIC component)]
P21151	fadA	b3845	3-ketoacyl-CoA thiolase FadA (EC 2.3.1.16) (Acetyl-CoA acyltransferase) (Beta-ketothiolase) (Fatty acid oxidation complex subunit beta)
P21156	cysD	b2752	Sulfate adenylyltransferase subunit 2 (EC 2.7.7.4) (ATP-sulfurylase small subunit) (Sulfate adenylate transferase) (SAT)
P21165	pepQ	b3847	Xaa-Pro dipeptidase (X-Pro dipeptidase) (EC 3.4.13.9) (Imidodipeptidase) (Proline dipeptidase) (Prolidase)
P21170	speA	b2938	Biosynthetic arginine decarboxylase (ADC) (EC 4.1.1.19)
P21177	fadB	b3846	Fatty acid oxidation complex subunit alpha [Includes: Enoyl-CoA hydratase/Delta(3)-cis-Delta(2)-trans-enoyl-CoA isomerase/3-hydroxybutyryl-CoA epimerase (EC 4.2.1.17) (EC 5.1.2.3) (EC 5.3.3.8); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)]
P21179	katE	b1732	Catalase HPII (EC 1.11.1.6) (Hydroxyperoxidase II)
P21338	rna	b0611	Ribonuclease I (RNase I) (EC 4.6.1.21) (Enterobacter ribonuclease)
P21369	pncA	b1768	Nicotinamidase (EC 3.5.1.19) (Nicotinamide deamidase) (NAMase) (Pyrazinamidase) (PZAase) (EC 3.5.1.-)
P21437	yggF	b2930	Fructose-1,6-bisphosphatase 2 class 2 (FBPase 2 class 2) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase 2 class 2)
P21499	rnr	b4179	Ribonuclease R (RNase R) (EC 3.1.13.1) (Protein VacB)
P21507	srmB	b2576	ATP-dependent RNA helicase SrmB (EC 3.6.4.13)
P21513	rne	b1084	Ribonuclease E (RNase E) (EC 3.1.26.12)
P21514	pdeL	b0315	Cyclic di-GMP phosphodiesterase PdeL (EC 3.1.4.52)
P21599	pykA	b1854	Pyruvate kinase II (EC 2.7.1.40) (PK-2)
P21645	lpxD	b0179	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase (UDP-3-O-(3-OHC14)-GlcN N-acyltransferase) (EC 2.3.1.191) (Protein FirA) (Rifampicin resistance protein) (UDP-3-O-(3-hydroxytetradecanoyl)glucosamine N-acyltransferase)
P21693	dbpA	b1343	ATP-dependent RNA helicase DbpA (EC 3.6.4.13)
P21829	ybhA	b0766	Pyridoxal phosphate phosphatase YbhA (PLP phosphatase) (EC 3.1.3.74)
P21865	kdpD	b0695	Sensor protein KdpD (EC 2.7.13.3)
P21888	cysS	b0526	Cysteine--tRNA ligase (EC 6.1.1.16) (Cysteinyl-tRNA synthetase) (CysRS)
P22106	asnB	b0674	Asparagine synthetase B [glutamine-hydrolyzing] (AS-B) (EC 6.3.5.4)
P22188	murE	b0085	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13) (Meso-A2pm-adding enzyme) (Meso-diaminopimelate-adding enzyme) (UDP-MurNAc-L-Ala-D-Glu:meso-diaminopimelate ligase) (UDP-MurNAc-tripeptide synthetase) (UDP-N-acetylmuramyl-tripeptide synthetase)
P22255	cysQ	b4214	3'(2'),5'-bisphosphate nucleotidase CysQ (EC 3.1.3.7) (3'(2'),5-bisphosphonucleoside 3'(2')-phosphohydrolase) (3'-phosphoadenosine 5'-phosphate phosphatase) (PAP phosphatase) (DPNPase)
P22256	gabT	b2662	4-aminobutyrate aminotransferase GabT (EC 2.6.1.19) (5-aminovalerate transaminase) (EC 2.6.1.48) (GABA aminotransferase) (GABA-AT) (Gamma-amino-N-butyrate transaminase) (GABA transaminase) (Glutamate:succinic semialdehyde transaminase) (L-AIBAT)
P22259	pckA	b3403	Phosphoenolpyruvate carboxykinase (ATP) (PCK) (PEP carboxykinase) (PEPCK) (EC 4.1.1.49)
P22333	add	b1623	Adenosine deaminase (EC 3.5.4.4) (Adenosine aminohydrolase)
P22523	mukB	b0924	Chromosome partition protein MukB (Structural maintenance of chromosome-related protein)
P22525	ycbB	b0925	Probable L,D-transpeptidase YcbB (EC 2.-.-.-)
P22564	rihC	b0030	Non-specific ribonucleoside hydrolase RihC (EC 3.2.-.-) (Purine/pyrimidine ribonucleoside hydrolase)
P22634	murI	b3967	Glutamate racemase (EC 5.1.1.3)
P22729	livM	b3456	High-affinity branched-chain amino acid transport system permease protein LivM (LIV-I protein M)
P22731	livF	b3454	High-affinity branched-chain amino acid transport ATP-binding protein LivF (LIV-I protein F)
P23003	trmA	b3965	tRNA/tmRNA (uracil-C(5))-methyltransferase (EC 2.1.1.-) (EC 2.1.1.35) (tRNA (uracil(54)-C(5))-methyltransferase) (tRNA(m5U54)-methyltransferase) (RUMT) (tmRNA (uracil(341)-C(5))-methyltransferase)
P23256	malY	b1622	Protein MalY [Includes: Cystathionine beta-lyase MalY (CBL) (EC 4.4.1.13) (Beta-cystathionase MalY) (Cysteine lyase MalY) (Cysteine-S-conjugate beta-lyase MalY); Maltose regulon modulator]
P23367	mutL	b4170	DNA mismatch repair protein MutL
P23484	fecI	b4293	Ferric citrate uptake sigma factor FecI
P23485	fecR	b4292	Ferric citrate uptake sigma factor regulator FecR
P23522	garL	b3126	5-keto-4-deoxy-D-glucarate aldolase (KDGluc aldolase) (KDGlucA) (EC 4.1.2.20) (2-dehydro-3-deoxy-D-glucarate aldolase) (2-keto-3-deoxy-D-glucarate aldolase) (5-dehydro-4-deoxy-D-glucarate aldolase) (Alpha-keto-beta-deoxy-D-glucarate aldolase)
P23538	ppsA	b1702	Phosphoenolpyruvate synthase (PEP synthase) (EC 2.7.9.2) (Pyruvate, water dikinase)
P23721	serC	b0907	Phosphoserine aminotransferase (EC 2.6.1.52) (Phosphohydroxythreonine aminotransferase) (PSAT)
P23827	eco	b2209	Ecotin
P23836	phoP	b1130	Transcriptional regulatory protein PhoP
P23837	phoQ	b1129	Sensor protein PhoQ (EC 2.7.13.3) (EC 3.1.3.-) (Sensor histidine protein kinase/phosphatase PhoQ)
P23843	oppA	b1243	Periplasmic oligopeptide-binding protein OppA (Polyamine-induced protein) (PI protein)
P23845	cysN	b2751	Sulfate adenylyltransferase subunit 1 (EC 2.7.7.4) (ATP-sulfurylase large subunit) (Sulfate adenylate transferase) (SAT)
P23847	dppA	b3544	Dipeptide-binding protein (DBP) (Periplasmic dipeptide transport protein)
P23857	pspE	b1308	Thiosulfate sulfurtransferase PspE (TST) (EC 2.8.1.1) (Phage shock protein E)
P23865	prc	b1830	Tail-specific protease (EC 3.4.21.102) (C-terminal-processing peptidase) (PRC protein) (Protease Re)
P23872	aes	b0476	Acetyl esterase (EC 3.1.1.-) (EcE)
P23873	hipB	b1508	Antitoxin HipB
P23874	hipA	b1507	Serine/threonine-protein kinase toxin HipA (Ser/Thr-protein kinase HipA) (EC 2.7.11.1) (Toxin HipA)
P23882	fmt	b3288	Methionyl-tRNA formyltransferase (EC 2.1.2.9) (Met-tRNA(fMet) formyltransferase)
P23883	puuC	b1300	NADP/NAD-dependent aldehyde dehydrogenase PuuC (ALDH) (EC 1.2.1.5) (3-hydroxypropionaldehyde dehydrogenase) (Gamma-glutamyl-gamma-aminobutyraldehyde dehydrogenase) (Gamma-Glu-gamma-aminobutyraldehyde dehydrogenase)
P23886	cydC	b0886	Glutathione/L-cysteine transport system ATP-binding/permease protein CydC (EC 7.4.2.-)
P23890	cadC	b4133	Transcriptional activator CadC (Membrane-integrated pH sensor CadC)
P23893	hemL	b0154	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)
P23894	htpX	b1829	Protease HtpX (EC 3.4.24.-) (Heat shock protein HtpX)
P23895	emrE	b0543	Multidrug transporter EmrE (Efflux-multidrug resistance protein EmrE) (Ethidium resistance protein) (Methyl viologen resistance protein C)
P23908	argE	b3957	Acetylornithine deacetylase (AO) (Acetylornithinase) (EC 3.5.1.16) (N-acetylornithinase) (NAO)
P23909	mutS	b2733	DNA mismatch repair protein MutS
P23930	lnt	b0657	Apolipoprotein N-acyltransferase (ALP N-acyltransferase) (EC 2.3.1.269) (Copper homeostasis protein CutE)
P24171	dcp	b1538	Dipeptidyl carboxypeptidase (EC 3.4.15.5) (Peptidyl-dipeptidase Dcp)
P24173	waaC	b3621	Lipopolysaccharide heptosyltransferase 1 (EC 2.4.99.23) (ADP-heptose:lipopolysaccharide heptosyltransferase I) (ADP-heptose:LPS heptosyltransferase I) (Heptosyltransferase I)
P24177	acrD	b2470	Probable aminoglycoside efflux pump (Acriflavine resistance protein D)
P24182	accC	b3256	Biotin carboxylase (EC 6.3.4.14) (Acetyl-coenzyme A carboxylase biotin carboxylase subunit A)
P24183	fdnG	b1474	Formate dehydrogenase, nitrate-inducible, major subunit (EC 1.17.5.3) (Anaerobic formate dehydrogenase major subunit) (Formate dehydrogenase-N subunit alpha) (FDH-N subunit alpha)
P24186	folD	b0529	Bifunctional protein FolD [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)]
P24188	trhO	b1055	tRNA uridine(34) hydroxylase (EC 1.14.-.-) (ORF39.9) (tRNA hydroxylation protein O)
P24192	hypD	b2729	Hydrogenase maturation factor HypD (Hydrogenase isoenzymes formation protein HypD)
P24193	hypE	b2730	Carbamoyl dehydratase HypE (EC 4.2.1.-) (Hydrogenase maturation factor HypE)
P24203	yjiA	b4352	Zinc chaperone YjiA (EC 3.6.5.-) (GTP-binding protein YjiA)
P24207	pheP	b0576	Phenylalanine-specific permease (Phenylalanine:H(+) symporter PheP)
P24215	uxuA	b4322	Mannonate dehydratase (EC 4.2.1.8) (D-mannonate hydro-lyase)
P24224	acpS	b2563	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)
P24228	dacB	b3182	D-alanyl-D-alanine carboxypeptidase DacB (DD-carboxypeptidase) (DD-peptidase) (EC 3.4.16.4) (D-alanyl-D-alanine endopeptidase) (DD-endopeptidase) (EC 3.4.21.-) (Penicillin-binding protein 4) (PBP-4)
P24230	recG	b3652	ATP-dependent DNA helicase RecG (EC 3.6.4.12)
P24232	hmp	b2552	Flavohemoprotein (Flavohemoglobin) (HMP) (Hemoglobin-like protein) (Nitric oxide dioxygenase) (NO oxygenase) (NOD) (EC 1.14.12.17)
P24554	radA	b4389	DNA repair protein RadA (EC 3.6.4.-) (Branch migration protein RadA) (DNA repair protein Sms)
P25397	tehB	b1430	Tellurite methyltransferase (EC 2.1.1.265) (Chalcogen-detoxifying protein TehB) (Selenite methyltransferase) (Tellurite resistance protein TehB)
P25437	frmA	b0356	S-(hydroxymethyl)glutathione dehydrogenase (EC 1.1.1.284) (Alcohol dehydrogenase class-3) (EC 1.1.1.1) (Alcohol dehydrogenase class-III) (Glutathione-dependent formaldehyde dehydrogenase) (FALDH) (FDH) (GSH-FDH) (EC 1.1.1.-)
P25516	acnA	b1276	Aconitate hydratase A (ACN) (Aconitase) (EC 4.2.1.3) (Iron-responsive protein-like) (IRP-like) (RNA-binding protein) (Stationary phase enzyme)
P25519	hflX	b4173	GTPase HflX (GTP-binding protein HflX)
P25522	mnmE	b3706	tRNA modification GTPase MnmE (EC 3.6.-.-)
P25524	codA	b0337	Cytosine deaminase (CD) (CDA) (CDase) (EC 3.5.4.1) (Cytosine aminohydrolase) (Isoguanine deaminase) (EC 3.5.4.-)
P25526	gabD	b2661	Succinate-semialdehyde dehydrogenase [NADP(+)] GabD (SSDH) (EC 1.2.1.79) (Glutarate-semialdehyde dehydrogenase) (EC 1.2.1.-)
P25527	gabP	b2663	Gamma-aminobutyric acid permease (GABA permease) (4-aminobutyrate carrier) (4-aminobutyrate permease) (Gamma-aminobutyrate permease)
P25534	ubiH	b2907	2-octaprenyl-6-methoxyphenol hydroxylase (EC 1.14.13.-)
P25535	ubiI	b2906	2-octaprenylphenol hydroxylase (EC 1.14.13.240) (2-polyprenylphenol 6-hydroxylase)
P25536	yhdE	b3248	dTTP/UTP pyrophosphatase (dTTPase/UTPase) (EC 3.6.1.9) (Nucleoside triphosphate pyrophosphatase) (Nucleotide pyrophosphatase) (Nucleotide PPase)
P25539	ribD	b0414	Riboflavin biosynthesis protein RibD [Includes: Diaminohydroxyphosphoribosylaminopyrimidine deaminase (DRAP deaminase) (EC 3.5.4.26) (Riboflavin-specific deaminase); 5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193) (HTP reductase)]
P25552	gppA	b3779	Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase (EC 3.6.1.40) (Guanosine pentaphosphate phosphohydrolase) (pppGpp-5'-phosphohydrolase)
P25553	aldA	b1415	Lactaldehyde dehydrogenase (EC 1.2.1.22) (Aldehyde dehydrogenase A) (Glycolaldehyde dehydrogenase) (EC 1.2.1.21)
P25665	metE	b3829	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14) (Cobalamin-independent methionine synthase) (Methionine synthase, vitamin-B12 independent isozyme)
P25714	yidC	b3705	Membrane protein insertase YidC (Foldase YidC) (Inner membrane protein YidC) (Membrane integrase YidC) (Oxa1Ec)
P25718	malS	b3571	Periplasmic alpha-amylase (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)
P25737	lysP	b2156	Lysine-specific permease LysP (Lysine transporter LysP) (Trigger transporter LysP)
P25740	waaG	b3631	Lipopolysaccharide glucosyltransferase WaaG (EC 2.4.1.-) (Lipopolysaccharide glucosyltransferase I) (UDP-glucose:(heptosyl)lipopolysaccharide glucosyltransferase)
P25745	mnmA	b1133	tRNA-specific 2-thiouridylase MnmA (EC 2.8.1.13)
P25888	rhlE	b0797	ATP-dependent RNA helicase RhlE (EC 3.6.4.13)
P25889	preA	b2147	NAD-dependent dihydropyrimidine dehydrogenase subunit PreA (DPD) (EC 1.3.1.1) (Dihydrothymine dehydrogenase) (Dihydrouracil dehydrogenase)
P25894	loiP	b2936	Metalloprotease LoiP (EC 3.4.24.-)
P26458	appB	b0979	Cytochrome bd-II ubiquinol oxidase subunit 2 (EC 7.1.1.3) (Cytochrome bd-II oxidase subunit II)
P26459	appC	b0978	Cytochrome bd-II ubiquinol oxidase subunit 1 (EC 7.1.1.3) (Cytochrome bd-II oxidase subunit I)
P26602	ubiC	b4039	Chorismate pyruvate-lyase (CL) (CPL) (EC 4.1.3.40)
P26616	maeA	b1479	NAD-dependent malic enzyme (NAD-ME) (EC 1.1.1.38)
P26648	ftsP	b3017	Cell division protein FtsP
P27125	rhaT	b3907	L-rhamnose-proton symporter (L-rhamnose-H(+) transport protein)
